股票,成交额排序,当日成交额美元,旧版状态,旧版条件数,新版状态,形态,底部确认,底部确认日,支撑区下沿,对照说明
NVDA,1,41963362850.340004,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,207.33870139734137,旧版也确认双底，但展示/突破要求不同
MU,2,35863486380.6,突破后跟踪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,856.8898795658592,旧版也确认双底，但展示/突破要求不同
BE,3,19477494003.28,入场就绪,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
MSFT,4,19433276784.32,等待突破,3,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-18,478.9957,旧版也确认双底，但展示/突破要求不同
INTC,5,18937732834.2,入场就绪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,81.10134671549318,旧版也确认双底，但展示/突破要求不同
META,6,18238068127.5,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
AMD,7,17734690610.86,入场就绪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,421.663249106694,旧版也确认双底，但展示/突破要求不同
AVGO,8,15699698022.91,风险否决,4,曾突破，现回到趋势线附近或下方,三推回调＋多底支撑,True,2026-09-18,330.02315318213255,旧版也确认双底，但展示/突破要求不同
AMZN,9,13197267574.56,等待突破,3,已越线，突破尚未确认,三推回调＋多底支撑,True,2026-09-18,242.0926,旧版也确认双底，但展示/突破要求不同
CVX,10,9899052300.41,双底已确认,2,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
LITE,11,8613096760.31,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,707.3926139976043,旧版也确认双底，但展示/突破要求不同
NFLX,12,8155786944.300001,突破后跟踪,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
ILMN,13,7789041952.58,等待突破,3,已突破，继续观察,多底支撑,True,2026-09-15,197.58890214527307,旧版也确认双底，但展示/突破要求不同
P,14,7610415609.72,突破后跟踪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,83.3440903975855,旧版也确认双底，但展示/突破要求不同
V,15,7205238450.150001,等待突破,3,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-14,361.0534,旧版也确认双底，但展示/突破要求不同
PLTR,16,6954064197.999999,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-14,161.35135839919212,旧版也确认双底，但展示/突破要求不同
DELL,17,6621090929.139999,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
JPM,18,6378642375.64,等待突破,3,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-17,338.2293,旧版也确认双底，但展示/突破要求不同
BRK-B,19,6350768185.849999,等待突破,3,已突破，继续观察,多底支撑,True,2026-09-10,483.1279,旧版也确认双底，但展示/突破要求不同
AMAT,20,6295229455.62,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-18,407.20741999856693,旧版也确认双底，但展示/突破要求不同
XOM,21,6143591884.299999,双底已确认,2,已突破，继续观察,三推回调＋多底支撑,True,2026-09-10,150.66039999999998,旧版也确认双底，但展示/突破要求不同
STX,22,5973914998.0,已突破但条件不完整,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,611.999755758733,旧版也确认双底，但展示/突破要求不同
WDC,23,5956855845.12,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-17,355.68296153111754,旧版也确认双底，但展示/突破要求不同
ORCL,24,5774907356.18,双底已确认,2,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
MRVL,25,5687037618.75,入场就绪,4,已越线，突破尚未确认,三推回调＋多底支撑,True,2026-09-16,186.48146205504574,旧版也确认双底，但展示/突破要求不同
LRCX,26,5609986877.240001,突破后跟踪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,263.9468741496837,旧版也确认双底，但展示/突破要求不同
TSM,27,5595528208.83,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,392.9955,旧版也确认双底，但展示/突破要求不同
CRWV,28,5380839767.5199995,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-08,76.7149547617859,旧版也确认双底，但展示/突破要求不同
LLY,29,5228972658.1477,入场就绪,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CRM,30,5122349316.96,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
TXN,31,5025803236.08,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
PANW,32,5007027790.38,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
NBIS,33,4744801919.599999,突破后跟踪,4,底部已确认，等待突破,多底支撑,True,2026-09-16,182.11433234821106,旧版也确认双底，但展示/突破要求不同
HOOD,34,4691966557.38,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CRWD,35,4624228396.900001,等待突破,3,已突破，继续观察,多底支撑,True,2026-09-14,187.16385680993986,旧版也确认双底，但展示/突破要求不同
