complete,days,excess_median,filled,filled_within,mae_median,method,mfe_median,missed_no_fill,missed_prior_high,paired_excess,paired_excess_ci95,paired_mae,paired_mae_ci95,paired_mfe,paired_mfe_ci95,paired_n,paired_return,paired_return_ci95,paired_symbols,period,return_mean,return_median,sample_warning,setups,statuses,target_available,timeframe,wait_mean,wait_median,waiting_end_return_median,waiting_mfe_median,win_rate
637,5,-0.0004732180428610455,637,"{""20"": 637, ""30"": 637, ""60"": 637}",-0.026666666666666727,direct,0.027932960893854775,1,5,0.0,,0.0,,0.0,,637,0.0,,493,all,-0.0015258272951837503,0.0,False,641,"{""filled"": 637, ""gap_invalidated"": 4}",402,daily,1,1,0.0,0,0.49921507064364207
277,5,0.0005615123809632472,277,"{""20"": 277, ""30"": 277, ""60"": 277}",-0.02593144560357663,direct,0.028744344307012337,1,1,0.0,,0.0,,0.0,,277,0.0,,237,2005-2009,0.0021666394457945464,-0.0007914899349859006,False,281,"{""filled"": 277, ""gap_invalidated"": 4}",167,daily,1,1,0.0,0,0.49458483754512633
78,5,0.009131454461909827,78,"{""20"": 78, ""30"": 78, ""60"": 78}",-0.015997886608498324,direct,0.02915615709939945,0,2,0.0,,0.0,,0.0,,78,0.0,,69,2010-2014,0.00017943261409249554,0.010438522466311162,False,78,"{""filled"": 78}",57,daily,1,1.0,0.0,0.0,0.5897435897435898
90,5,-0.008653679315925866,90,"{""20"": 90, ""30"": 90, ""60"": 90}",-0.029081789485325527,direct,0.023074174606269704,0,1,0.0,,0.0,,0.0,,90,0.0,,80,2015-2019,-0.007501983266083096,-0.010983541319772916,False,90,"{""filled"": 90}",60,daily,1,1.0,0.0,0.0,0.43333333333333335
192,5,-0.004576064044756412,192,"{""20"": 192, ""30"": 192, ""60"": 192}",-0.030723859502840067,direct,0.03183386707551583,0,1,0.0,,0.0,,0.0,,192,0.0,,171,2020-2025,-0.0047444185597337206,0.0006954340866952569,False,192,"{""filled"": 192}",118,daily,1,1.0,0.0,0.0,0.5
637,10,0.0005147760860642059,637,"{""20"": 637, ""30"": 637, ""60"": 637}",-0.04006453347674099,direct,0.043705408459847384,1,5,0.0,,0.0,,0.0,,637,0.0,,493,all,0.0046634859822080365,0.0033013930268137592,False,641,"{""filled"": 637, ""gap_invalidated"": 4}",402,daily,1,1,0.0,0,0.5133437990580848
277,10,0.0039664283256060084,277,"{""20"": 277, ""30"": 277, ""60"": 277}",-0.04186197642896494,direct,0.045168125957028016,1,1,0.0,,0.0,,0.0,,277,0.0,,237,2005-2009,0.009328166828697122,0.0031578731592394327,False,281,"{""filled"": 277, ""gap_invalidated"": 4}",167,daily,1,1,0.0,0,0.5126353790613718
78,10,0.0026668789899957357,78,"{""20"": 78, ""30"": 78, ""60"": 78}",-0.023502162731609988,direct,0.04152940031290464,0,2,0.0,,0.0,,0.0,,78,0.0,,69,2010-2014,0.0030677134561000654,0.01251002432127124,False,78,"{""filled"": 78}",57,daily,1,1.0,0.0,0.0,0.5769230769230769
90,10,-0.008396234319767715,90,"{""20"": 90, ""30"": 90, ""60"": 90}",-0.04796838471752274,direct,0.029945147283920948,0,1,0.0,,0.0,,0.0,,90,0.0,,80,2015-2019,-0.006097128457142243,-0.006215229534279165,False,90,"{""filled"": 90}",60,daily,1,1.0,0.0,0.0,0.4666666666666667
192,10,-0.004757272064339346,192,"{""20"": 192, ""30"": 192, ""60"": 192}",-0.04446342463448655,direct,0.0503213791455589,0,1,0.0,,0.0,,0.0,,192,0.0,,171,2020-2025,0.0036260326598146517,0.004344368317154013,False,192,"{""filled"": 192}",118,daily,1,1.0,0.0,0.0,0.5104166666666666
