Ticker,Price difference,Signal affected,Support affected,Prior-high affected,Trade affected,P&L impact,Decision
ANF,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
AR,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
BMRN,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
CNC,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0,diagnostic_only
COO,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
DNLI,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
DOC,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0,diagnostic_only
ELV,True,False,True,not_used_by_this_account,True,-40.862581514998965,diagnostic_only
GKOS,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0,diagnostic_only
MRNA,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0,diagnostic_only
MXL,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
NVAX,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
PNFP,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
REGN,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
SBUX,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
SGML,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
VCEL,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0,diagnostic_only
WEX,False,retained_not_revalidated,previous_audit_equal,not_used_by_this_account,False,0.0,diagnostic_only
