ticker,old_signal_date,new_signal_date,old_eligibility,new_eligibility,old_score,new_score,old_rank,new_rank,old_support,new_support,trade_changed_vs_mixed
ANF,2026-02-05,2026-02-05,True,True,46.3542,46.3542,1,1,"{'available': True, 'candidates': [{'distance_pct': 2.452, 'level': 96.7278, 'source': 'EMA200'}, {'distance_pct': 6.904, 'level': 92.7, 'source': 'prior-20D-low'}, {'distance_pct': 6.904, 'level': 92.7, 'source': 'confirmed-swing-low'}], 'level': 96.7278, 'max_loss_pct': 10, 'signal_close': 99.1, 'source': 'EMA200', 'structural_stop': 91.8914, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 5.181, 'hit': False, 'level': 94.218542, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.081104, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 2.452, 'level': 96.7278, 'source': 'EMA200'}, {'distance_pct': 6.904, 'level': 92.7, 'source': 'prior-20D-low'}, {'distance_pct': 6.904, 'level': 92.7, 'source': 'confirmed-swing-low'}], 'level': 96.7278, 'max_loss_pct': 10, 'signal_close': 99.1, 'source': 'EMA200', 'structural_stop': 91.8914, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 5.181, 'hit': False, 'level': 94.218542, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.081104, 'pulled_back': True}}",False
AR,2026-02-11,2026-02-11,True,True,22.3958,22.3958,3,3,"{'available': True, 'candidates': [{'distance_pct': 2.782, 'level': 34.1597, 'source': 'EMA21'}, {'distance_pct': 2.862, 'level': 34.1329, 'source': 'EMA200'}, {'distance_pct': 3.178, 'level': 34.0285, 'source': 'EMA50'}, {'distance_pct': 5.913, 'level': 33.15, 'source': 'confirmed-swing-low'}, {'distance_pct': 12.713, 'level': 31.15, 'source': 'prior-20D-low'}], 'level': 34.1597, 'max_loss_pct': 10, 'signal_close': 35.11, 'source': 'EMA21', 'structural_stop': 32.4517, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 8.0945, 'hit': False, 'level': 32.480833, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.080129, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 2.782, 'level': 34.1597, 'source': 'EMA21'}, {'distance_pct': 2.862, 'level': 34.1329, 'source': 'EMA200'}, {'distance_pct': 3.178, 'level': 34.0285, 'source': 'EMA50'}, {'distance_pct': 5.913, 'level': 33.15, 'source': 'confirmed-swing-low'}, {'distance_pct': 12.713, 'level': 31.15, 'source': 'prior-20D-low'}], 'level': 34.1597, 'max_loss_pct': 10, 'signal_close': 35.11, 'source': 'EMA21', 'structural_stop': 32.4517, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 8.0945, 'hit': False, 'level': 32.480833, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.080129, 'pulled_back': True}}",False
BMRN,2026-02-03,2026-02-03,True,True,30.2083,33.3333,2,2,"{'available': True, 'candidates': [{'distance_pct': 0.965, 'level': 57.0594, 'source': 'EMA21'}, {'distance_pct': 1.926, 'level': 56.5212, 'source': 'EMA50'}, {'distance_pct': 4.215, 'level': 55.28, 'source': 'confirmed-swing-low'}, {'distance_pct': 6.547, 'level': 54.07, 'source': 'prior-20D-low'}], 'level': 57.0594, 'max_loss_pct': 10, 'signal_close': 57.61, 'source': 'EMA21', 'structural_stop': 54.2064, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 4.0674, 'hit': False, 'level': 55.358333, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.089602, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 0.965, 'level': 57.0594, 'source': 'EMA21'}, {'distance_pct': 1.926, 'level': 56.5212, 'source': 'EMA50'}, {'distance_pct': 4.215, 'level': 55.28, 'source': 'confirmed-swing-low'}, {'distance_pct': 6.547, 'level': 54.07, 'source': 'prior-20D-low'}], 'level': 57.0594, 'max_loss_pct': 10, 'signal_close': 57.61, 'source': 'EMA21', 'structural_stop': 54.2064, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 4.0674, 'hit': False, 'level': 55.358333, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.089602, 'pulled_back': True}}",False
CNC,2026-02-19,2026-02-19,True,True,21.875,28.125,3,3,"{'available': True, 'candidates': [{'distance_pct': 2.319, 'level': 42.6898, 'source': 'EMA200'}, {'distance_pct': 4.387, 'level': 41.8441, 'source': 'EMA21'}, {'distance_pct': 5.339, 'level': 41.4661, 'source': 'EMA50'}, {'distance_pct': 12.432, 'level': 38.85, 'source': 'confirmed-swing-low'}, {'distance_pct': 21.131, 'level': 36.06, 'source': 'prior-20D-low'}], 'level': 42.6898, 'max_loss_pct': 10, 'signal_close': 43.68, 'source': 'EMA200', 'structural_stop': 40.5553, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 23.5085, 'hit': False, 'level': 35.366, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.088986, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 2.319, 'level': 42.6898, 'source': 'EMA200'}, {'distance_pct': 4.387, 'level': 41.8441, 'source': 'EMA21'}, {'distance_pct': 5.339, 'level': 41.4661, 'source': 'EMA50'}, {'distance_pct': 12.432, 'level': 38.85, 'source': 'confirmed-swing-low'}, {'distance_pct': 21.131, 'level': 36.06, 'source': 'prior-20D-low'}], 'level': 42.6898, 'max_loss_pct': 10, 'signal_close': 43.68, 'source': 'EMA200', 'structural_stop': 40.5553, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 23.5085, 'hit': False, 'level': 35.366, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.088986, 'pulled_back': True}}",False
COO,2026-02-11,2026-02-11,True,True,40.625,40.625,1,1,"{'available': True, 'candidates': [{'distance_pct': 2.004, 'level': 81.4185, 'source': 'volume-profile-poc'}, {'distance_pct': 2.01, 'level': 81.4134, 'source': 'EMA21'}, {'distance_pct': 3.5, 'level': 80.2417, 'source': 'EMA50'}, {'distance_pct': 5.407, 'level': 78.79, 'source': 'prior-20D-low'}, {'distance_pct': 5.407, 'level': 78.79, 'source': 'confirmed-swing-low'}, {'distance_pct': 6.127, 'level': 78.2556, 'source': 'EMA200'}], 'level': 81.4185, 'max_loss_pct': 10, 'signal_close': 83.05, 'source': 'volume-profile-poc', 'structural_stop': 77.3476, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 2.0038, 'hit': True, 'level': 81.4185, 'lookback_sessions': 250, 'near_price': True, 'peak_share': 0.064166, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 2.004, 'level': 81.4185, 'source': 'volume-profile-poc'}, {'distance_pct': 2.01, 'level': 81.4134, 'source': 'EMA21'}, {'distance_pct': 3.5, 'level': 80.2417, 'source': 'EMA50'}, {'distance_pct': 5.407, 'level': 78.79, 'source': 'prior-20D-low'}, {'distance_pct': 5.407, 'level': 78.79, 'source': 'confirmed-swing-low'}, {'distance_pct': 6.127, 'level': 78.2556, 'source': 'EMA200'}], 'level': 81.4185, 'max_loss_pct': 10, 'signal_close': 83.05, 'source': 'volume-profile-poc', 'structural_stop': 77.3476, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 2.0038, 'hit': True, 'level': 81.4185, 'lookback_sessions': 250, 'near_price': True, 'peak_share': 0.064166, 'pulled_back': True}}",False
DNLI,2026-02-25,2026-02-25,True,True,35.4167,35.4167,1,1,"{'available': True, 'candidates': [{'distance_pct': 9.946, 'level': 20.2736, 'source': 'EMA21'}, {'distance_pct': 19.774, 'level': 18.61, 'source': 'prior-20D-low'}, {'distance_pct': 19.774, 'level': 18.61, 'source': 'confirmed-swing-low'}], 'level': 20.2736, 'max_loss_pct': 10, 'signal_close': 22.29, 'source': 'EMA21', 'structural_stop': 19.2599, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 56.7589, 'hit': False, 'level': 14.219292, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.089835, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 9.946, 'level': 20.2736, 'source': 'EMA21'}, {'distance_pct': 19.774, 'level': 18.61, 'source': 'prior-20D-low'}, {'distance_pct': 19.774, 'level': 18.61, 'source': 'confirmed-swing-low'}], 'level': 20.2736, 'max_loss_pct': 10, 'signal_close': 22.29, 'source': 'EMA21', 'structural_stop': 19.2599, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 56.7589, 'hit': False, 'level': 14.219292, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.089835, 'pulled_back': True}}",False
DOC,2026-02-19,2026-02-19,True,True,44.7917,44.7917,1,1,"{'available': True, 'candidates': [{'distance_pct': 0.905, 'level': 16.3822, 'source': 'EMA50'}, {'distance_pct': 0.942, 'level': 16.3762, 'source': 'EMA21'}, {'distance_pct': 6.039, 'level': 15.5891, 'source': 'prior-20D-low'}, {'distance_pct': 6.039, 'level': 15.5891, 'source': 'confirmed-swing-low'}], 'level': 16.3822, 'max_loss_pct': 10, 'signal_close': 16.5305, 'source': 'EMA50', 'structural_stop': 15.5631, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 4.2056, 'hit': False, 'level': 15.863353, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.073801, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 0.905, 'level': 16.3822, 'source': 'EMA50'}, {'distance_pct': 0.942, 'level': 16.3762, 'source': 'EMA21'}, {'distance_pct': 6.039, 'level': 15.5891, 'source': 'prior-20D-low'}, {'distance_pct': 6.039, 'level': 15.5891, 'source': 'confirmed-swing-low'}], 'level': 16.3822, 'max_loss_pct': 10, 'signal_close': 16.5305, 'source': 'EMA50', 'structural_stop': 15.5631, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 4.2056, 'hit': False, 'level': 15.863353, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.073801, 'pulled_back': True}}",False
ELV,2026-02-18,2026-02-18,True,True,33.8542,33.8542,2,2,"{'available': True, 'candidates': [{'distance_pct': 0.034, 'level': 342.608, 'source': 'EMA50'}, {'distance_pct': 0.52, 'level': 340.9519, 'source': 'EMA21'}, {'distance_pct': 7.096, 'level': 320.0171, 'source': 'confirmed-swing-low'}, {'distance_pct': 9.757, 'level': 312.2567, 'source': 'prior-20D-low'}], 'level': 342.608, 'max_loss_pct': 10, 'signal_close': 342.7242, 'source': 'EMA50', 'structural_stop': 325.4776, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': -6.8158, 'hit': False, 'level': 367.792223, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.067474, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 0.034, 'level': 341.1233, 'source': 'EMA50'}, {'distance_pct': 0.52, 'level': 339.4743, 'source': 'EMA21'}, {'distance_pct': 7.096, 'level': 318.6303, 'source': 'confirmed-swing-low'}, {'distance_pct': 9.757, 'level': 310.9035, 'source': 'prior-20D-low'}], 'level': 341.1233, 'max_loss_pct': 10, 'signal_close': 341.2389, 'source': 'EMA50', 'structural_stop': 324.0671, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': -6.8158, 'hit': False, 'level': 366.198358, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.067444, 'pulled_back': True}}",True
GKOS,2026-02-20,2026-02-20,True,True,31.25,31.25,1,1,"{'available': True, 'candidates': [{'distance_pct': 4.64, 'level': 114.9367, 'source': 'EMA21'}, {'distance_pct': 7.139, 'level': 112.2565, 'source': 'EMA50'}, {'distance_pct': 16.147, 'level': 103.55, 'source': 'prior-20D-low'}, {'distance_pct': 16.147, 'level': 103.55, 'source': 'confirmed-swing-low'}], 'level': 114.9367, 'max_loss_pct': 10, 'signal_close': 120.27, 'source': 'EMA21', 'structural_stop': 109.1899, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 33.8683, 'hit': False, 'level': 89.842, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.066488, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 4.64, 'level': 114.9367, 'source': 'EMA21'}, {'distance_pct': 7.139, 'level': 112.2565, 'source': 'EMA50'}, {'distance_pct': 16.147, 'level': 103.55, 'source': 'prior-20D-low'}, {'distance_pct': 16.147, 'level': 103.55, 'source': 'confirmed-swing-low'}], 'level': 114.9367, 'max_loss_pct': 10, 'signal_close': 120.27, 'source': 'EMA21', 'structural_stop': 109.1899, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 33.8683, 'hit': False, 'level': 89.842, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.066488, 'pulled_back': True}}",False
MRNA,2026-02-19,2026-02-19,True,True,33.3333,33.3333,2,2,"{'available': True, 'candidates': [{'distance_pct': 35.589, 'level': 36.655, 'source': 'prior-20D-low'}, {'distance_pct': 35.589, 'level': 36.655, 'source': 'confirmed-swing-low'}], 'level': 36.655, 'max_loss_pct': 10, 'signal_close': 49.7, 'source': 'prior-20D-low', 'structural_stop': 34.8222, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 82.6638, 'hit': False, 'level': 27.208458, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.114234, 'pulled_back': True}}","{'available': True, 'candidates': [{'distance_pct': 35.589, 'level': 36.655, 'source': 'prior-20D-low'}, {'distance_pct': 35.589, 'level': 36.655, 'source': 'confirmed-swing-low'}], 'level': 36.655, 'max_loss_pct': 10, 'signal_close': 49.7, 'source': 'prior-20D-low', 'structural_stop': 34.8222, 'support_buffer_pct': 5, 'volume_profile': {'available': True, 'bins': 40, 'concentrated': True, 'distance_pct': 82.6638, 'hit': False, 'level': 27.208458, 'lookback_sessions': 250, 'near_price': False, 'peak_share': 0.114234, 'pulled_back': True}}",False
